,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Power PtG,Battery SOC,Battery Power,H2 produced
2230,55.512,57.73551229460215,0.0,0.0,0.0,67.53551229460216,60.00000000000001,9.8,1096.002678038214
2231,53.701,47.47420844139677,0.0,0.0,0.0,57.274208441396766,50.00000000000001,9.8,936.2898398193701
2232,48.347,38.69879293422193,0.0,0.0,0.0,36.1713162532364,40.0,-2.5274766809855276,607.8322817728327
2233,48.347,29.052539771656317,0.0,0.0,0.0,26.52506309067079,42.476927147365814,-2.5274766809855276,457.69244644483035
2234,48.347,23.79378119553612,0.0,0.0,0.0,21.26630451455059,44.95385429473163,-2.5274766809855276,375.842101721096
2235,48.172,22.703543899937287,0.0,0.0,0.0,20.176067218951758,47.43078144209744,-2.5274766809855276,358.8730210561926
2236,48.804,17.557476680985527,0.0,0.0,0.0,15.03,49.907708589463255,-2.5274766809855276,278.7766694656489
2237,49.223,11.507917363650414,0.0,0.0,0.0,15.03,52.38463573682907,3.5220826363495856,278.7766694656489
2238,48.891,6.509174390277692,1.0746593802951745,0.0,0.0,15.03,48.79067386300296,7.446166229427133,278.7766694656489
2239,46.786,1.3626874133092803,5.5276165041268115,0.0,0.0,15.030000000000001,41.19254505746507,8.139696082563908,278.7766694656489
2240,38.949,1.206773914272689,11.742024341134005,0.0,0.0,15.03,32.88673272831822,2.0812017445933044,278.7766694656489
2241,36.016,0.0,22.80359167803514,0.0,0.0,22.80359167803514,30.763057478733216,0.0,399.7693237924722
2242,34.688,1.0464721743486358,33.64108843292073,0.0,0.0,34.68756060726937,30.763057478733216,0.0,584.7382550457512
2243,33.484,4.683277459352343,43.53033236106601,0.0,0.0,48.213609820418355,30.763057478733216,0.0,795.2654688018245
2244,33.484,8.48912210100692,47.96413554586348,0.0,0.0,56.4532576468704,30.763057478733216,0.0,923.5120892228057
2245,34.453,10.994619317912367,38.019826471044,0.0,0.0,49.014445788956365,30.763057478733216,0.0,807.7301406712758
2246,34.896,10.091202674548686,25.80134149997621,0.0,0.0,35.8925441745249,30.763057478733216,0.0,603.4933127154773
2247,35.994,15.258121325059335,15.742172846912927,0.0,0.0,31.000294171972264,30.763057478733216,0.0,527.3475183445454
2248,44.969,31.092098595550034,13.12547961944395,0.0,0.0,44.217578214993985,30.763057478733216,0.0,733.0689333084167
2249,48.173,43.031766529608205,5.571395851772087,0.0,0.0,48.603162381380294,30.763057478733216,0.0,801.3286890355002
2250,49.988,39.18990931376611,0.0,0.0,0.0,37.61900072171394,30.763057478733216,-1.570908592052173,630.364875935675
2251,43.59,41.88835893832203,0.0,0.0,0.0,40.31745034626986,32.30254789894435,-1.5709085920521728,672.3650987625015
2252,41.695,51.226939560197216,0.0,0.0,0.0,49.656030968145046,33.842038319155485,-1.570908592052172,817.7161416116301
2253,41.695,64.95794508517743,0.0,0.0,0.0,63.38703649312526,35.381528739366615,-1.570908592052172,1031.4334133507546
2254,41.695,98.10707096787716,0.0,0.0,0.0,96.536162375825,36.921019159577746,-1.5709085920521701,1547.3854848358897
2255,41.695,102.43711930346959,0.0,0.0,0.0,100.86621071141741,38.46050957978887,-1.5709085920521701,1614.7808489334275
2256,41.702,104.43488283267688,0.0,0.0,0.0,104.43488283267688,40.0,0.0,1670.3257154837704
2257,41.702,102.83381784218246,0.0,0.0,0.0,102.83381784218246,40.0,0.0,1645.4058186107416
2258,41.702,95.55140571813024,0.0,0.0,0.0,95.55140571813024,40.0,0.0,1532.058165520011
2259,41.702,88.9802849104379,0.0,0.0,0.0,88.9802849104379,40.0,0.0,1429.7814598021887
2260,41.702,97.77078246507887,0.0,0.0,0.0,97.77078246507887,40.0,0.0,1566.6018223888548
2261,41.702,113.91494948414754,0.0,0.0,0.0,113.91494948414754,39.99999999999999,0.0,1817.8789283181447
2262,44.546,108.88784159575391,2.334296461094713,0.0,0.0,111.22213805684862,39.99999999999999,0.0,1775.9664616380253
2263,45.412,78.4492006448623,5.1423715487421,0.0,0.0,83.5915721936044,39.99999999999999,0.0,1345.9084340479994
2264,41.651,77.6217516002197,14.106410691446953,0.0,0.0,91.72816229166665,39.99999999999999,0.0,1472.551004677942
2265,37.305,92.15079173976251,30.139667401563088,0.0,0.0,122.2904591413256,39.99999999999999,0.0,1948.2401804566227
2266,35.157,109.39476938220236,40.50001056489015,0.0,0.0,149.8947799470925,39.99999999999999,0.0,2377.8897148688916
2267,34.897,110.93627586830262,55.39576713031434,0.0,0.0,166.33204299861694,39.99999999999999,0.0,2633.7287361145827
2268,34.897,103.83757578357566,63.83627650471379,0.0,0.0,167.67385228828945,40.00000000000001,0.0,2654.613428066772
2269,37.033,93.10678898900287,66.56554997693118,0.0,0.0,159.67233896593405,40.0,0.0,2530.073270106234
2270,39.532,79.76767027982407,65.64619704546072,0.0,0.0,145.4138673252848,40.0,0.0,2308.1462122031953
2271,43.606,60.63431137351057,60.36001832418293,0.0,0.0,120.9943296976935,40.0,0.0,1928.0664759154763
2272,48.001,42.22430022880821,49.12135754744615,0.0,0.0,91.34565777625437,40.0,0.0,1466.597484281123
2273,58.601,26.362721045924843,32.05768899707272,0.0,0.0,58.42041004299756,40.0,0.0,954.129981148531
2274,60.191,22.306596945530877,0.0,0.0,0.0,22.306596945530877,40.0,0.0,392.03381177142666
2275,55.503,23.772876850064502,0.0,0.0,0.0,23.772876850064502,40.0,0.0,414.85583600211606
2276,56.873,23.796300452847568,0.0,0.0,0.0,23.796300452847568,40.0,0.0,415.22041443535556
2277,49.92,24.02007856443094,0.0,0.0,0.0,24.02007856443094,40.0,0.0,418.7034257410843
2278,49.214,18.604440643178574,0.0,0.0,0.0,18.604440643178574,40.0,0.0,334.4113206107381
2279,49.214,16.758332571266397,0.0,0.0,0.0,16.758332571266397,40.0,0.0,305.67743220417765
2280,53.251,8.88694019330276,0.0,0.0,0.0,0.0,40.0,-8.886940193302754,0.0
2281,53.251,4.028863117257921,0.0,0.0,0.0,0.0,48.7092013894367,-4.028863117257933,0.0
2282,53.251,4.7694848671778525,0.0,0.0,0.0,15.029999999999998,52.65748724434947,10.260515132822146,278.7766694656489
2283,53.251,7.253281216416253,0.0,0.0,0.0,16.667372253079364,42.18757384351054,9.41409103666311,304.2616734672018
2284,53.251,7.502997218702878,0.0,0.0,0.0,16.91708825536599,32.58135849997676,9.41409103666311,308.14839703025086
2285,53.251,6.57238323208597,0.0,0.0,0.0,15.986474268749081,22.97514315644297,9.41409103666311,293.6637854043793
2286,67.907,7.23505215583959,2.5333985875093923,0.0,0.0,15.029999999999998,13.368927812909186,5.2615492566510165,278.7766694656489
2287,53.215,10.791047343868112,4.981961016795989,0.0,0.0,15.7730083606641,7.999999999999986,0.0,290.3412791682381
2288,52.789,18.546939017607666,13.939540312073964,0.0,0.0,32.48647932968163,7.999999999999986,0.0,550.4793593904898
2289,46.324,34.89734148684408,26.405125788463316,0.0,0.0,61.30246727530739,7.999999999999986,0.0,998.9879784426626
2290,43.861,35.091733571934384,36.08841168188245,0.0,0.0,71.18014525381683,7.999999999999986,0.0,1152.7298427834905
2291,43.682,46.713118403144776,40.26630033182158,0.0,0.0,86.97941873496636,7.999999999999986,0.0,1398.638827213561
2292,43.682,63.92563125938205,42.08676562968573,0.0,0.0,106.01239688906779,7.999999999999986,0.0,1694.8790520656132
2293,44.894,78.8252680779015,40.29623248090333,0.0,0.0,119.12150055880483,7.999999999999986,0.0,1898.916685445386
2294,46.649,82.28862444735886,33.0453649671908,0.0,0.0,115.33398941454965,7.999999999999986,0.0,1839.9656824063782
2295,53.251,84.94866892999936,31.965465030771604,0.0,0.0,116.91413396077095,7.999999999999986,0.0,1864.5599614457021
2296,54.097,83.27605329579931,34.117165311447096,0.0,0.0,117.39321860724641,7.999999999999986,0.0,1872.0167105811224
2297,64.671,73.41372804929998,25.50200676026727,0.0,0.0,98.91573480956725,7.999999999999986,0.0,1584.4225195614115
2298,74.877,76.73183125965795,0.0,0.0,0.0,71.28965438890965,7.999999999999986,-5.442176870748301,1154.4343059810303
2299,59.483,87.22288624498675,0.0,0.0,0.0,81.78070937423846,13.333333333333321,-5.4421768707483,1317.7231230345685
2300,59.279,103.29358105646277,0.0,0.0,0.0,97.85140418571447,18.666666666666664,-5.4421768707483,1567.8566652440131
2301,55.995,117.97919706009394,0.0,0.0,0.0,112.53702018934564,23.999999999999996,-5.4421768707483,1796.4320438202292
2302,54.097,120.48996981367743,0.0,0.0,0.0,115.04779294292914,29.333333333333332,-5.4421768707483,1835.511155825289
2303,53.251,136.17938891907113,0.0,0.0,0.0,130.73721204832282,34.666666666666664,-5.4421768707483,2079.710303533466
2304,49.022,160.89910726275176,0.0,0.0,0.0,165.80354317126847,40.0,4.904435908516724,2625.502860667222
2305,40.259,198.67883862532145,0.0,0.0,0.0,203.58327453383816,34.995473562738034,4.904435908516725,3213.528340604319
2306,39.414,248.97640864242248,0.0,0.0,0.0,253.8808445509392,29.990947125476072,4.904435908516725,3996.3886649706883
2307,39.414,315.31997888957744,0.0,0.0,0.0,300.0,24.986420688214107,-15.319978889577442,4714.213740458016
2308,39.414,340.4672192506843,0.0,20.059055985378166,0.0,300.0,40.0,-20.408163265306122,4714.213740458016
